date,real,pred
2023-02-22,1832.0,1803.3894
2023-02-23,1818.0,1802.2312
2023-02-24,1808.8000488281,1797.4369
2023-02-27,1817.0,1790.4624
2023-02-28,1828.9000244141,1788.303
2023-03-01,1837.6999511719,1793.0869
2023-03-02,1833.5,1802.9427
2023-03-03,1847.6999511719,1809.7256
2023-03-06,1847.9000244141,1817.7562
2023-03-07,1813.9000244141,1823.318
2023-03-08,1812.6999511719,1813.6064
2023-03-09,1829.3000488281,1801.7323
2023-03-10,1862.0,1799.4742
2023-03-13,1911.6999511719,1814.057
2023-03-14,1906.1999511719,1847.157
2023-03-15,1926.5999755859002,1871.6748
2023-03-16,1919.0,1889.9949
2023-03-17,1969.8000488281,1894.6733
2023-03-20,1979.1999511719,1910.9939
2023-03-21,1938.0,1929.5365
2023-03-22,1946.8000488281,1926.0581
2023-03-23,1993.8000488281,1919.3513
2023-03-24,1982.0999755859,1930.868
2023-03-27,1952.4000244141,1940.291
2023-03-28,1972.4000244141,1934.5183
2023-03-29,1966.0999755859,1932.8218
2023-03-30,1980.3000488281,1929.9248
2023-03-31,1969.0,1933.3728
2023-04-03,1983.9000244141,1932.5214
2023-04-04,2022.1999511719,1935.6545
2023-04-05,2020.9000244141,1952.5773
2023-04-06,2011.9000244141,1966.7081
2023-04-10,1989.0999755859,1971.2977
2023-04-11,2004.8000488281,1962.0297
2023-04-12,2010.9000244141,1956.7432
2023-04-13,2041.3000488281,1956.7158
2023-04-14,2002.1999511719,1969.9381
2023-04-17,1994.1999511719,1968.2297
2023-04-18,2007.4000244141,1958.5205
2023-04-19,1995.1999511719,1954.6394
2023-04-20,2007.5999755859,1951.5873
2023-04-21,1979.5,1955.8884
2023-04-24,1989.0999755859,1951.5564
2023-04-25,1994.0,1949.8868
2023-04-26,1985.6999511719,1951.1151
2023-04-27,1989.9000244140998,1951.3022
2023-04-28,1990.0999755859,1952.6293
2023-05-01,1983.4000244141,1954.551
2023-05-02,2014.3000488281,1951.8617
2023-05-03,2028.5999755859002,1960.4819
2023-05-04,2048.0,1976.453
2023-05-05,2017.4000244141,1995.4442
2023-05-08,2026.3000488281,1995.1793
2023-05-09,2036.1999511719,1992.4175
2023-05-10,2030.5,1994.0977
2023-05-11,2014.6999511719,1994.2736
2023-05-12,2014.5,1989.3291
2023-05-15,2018.0,1984.8444
2023-05-16,1988.4000244141,1984.7689
2023-05-17,1980.6999511719,1975.1741
2023-05-18,1956.5,1962.356
2023-05-19,1978.6999511719,1944.6749
2023-05-22,1974.8000488281,1940.8013
2023-05-23,1972.4000244141,1942.4729
2023-05-24,1962.8000488281,1944.0437
2023-05-25,1943.0999755859,1940.866
2023-05-26,1944.0999755859,1928.4462
2023-05-30,1958.0,1918.9463
2023-05-31,1963.9000244141,1918.6655
2023-06-01,1978.0,1923.3544
2023-06-02,1952.4000244141,1933.6471
2023-06-05,1958.0,1931.7723
2023-06-06,1965.5,1929.3774
2023-06-07,1942.6999511719,1929.6692
2023-06-08,1963.5999755859,1922.7029
2023-06-09,1962.1999511719,1924.6454
2023-06-12,1955.3000488281,1928.8469
2023-06-13,1944.5999755859,1930.8589
2023-06-14,1955.3000488281,1928.3634
2023-06-15,1957.8000488281,1928.6284
2023-06-16,1958.4000244141,1930.6633
2023-06-20,1935.5,1932.524
2023-06-21,1933.3000488281,1926.2585
2023-06-22,1912.6999511719,1917.9491
2023-06-23,1919.0999755859,1903.8473
2023-06-26,1923.6999511719,1895.5328
2023-06-27,1914.0,1894.0604
2023-06-28,1912.3000488281,1891.3456
2023-06-29,1909.1999511719,1887.9813
2023-06-30,1921.0999755859,1884.8359
2023-07-03,1921.6999511719,1886.9382
2023-07-05,1919.5999755859,1890.6283
2023-07-06,1908.6999511719,1891.5138
2023-07-07,1926.1999511719,1887.0378
2023-07-10,1925.0,1888.5989
2023-07-11,1931.3000488281,1891.4562
2023-07-12,1956.1999511719,1896.9503
2023-07-13,1959.1999511719,1910.4825
2023-07-14,1960.0999755859,1922.4175
2023-07-17,1952.4000244141,1929.4946
2023-07-18,1977.1999511719,1928.718
2023-07-19,1977.5,1935.4724
2023-07-20,1968.3000488281,1941.8396
2023-07-21,1964.3000488281,1942.4514
2023-07-24,1960.3000488281,1940.1969
2023-07-25,1962.0999755859,1935.3688
2023-07-26,1968.9000244141,1932.4565
2023-07-27,1945.4000244141,1934.0834
2023-07-28,1960.4000244141,1928.1323
2023-07-31,1970.5,1926.6433
2023-08-01,1940.6999511719,1930.2184
2023-08-02,1937.4000244141,1922.5991
2023-08-03,1932.0,1912.987
2023-08-04,1939.5999755859,1903.5726
2023-08-07,1933.5,1901.0802
2023-08-08,1924.0999755859,1899.1924
2023-08-09,1915.4000244141,1894.7212
2023-08-10,1914.4000244141,1888.0815
2023-08-11,1912.9000244141,1882.7393
2023-08-14,1910.5999755859,1879.421
2023-08-15,1902.5,1876.9634
2023-08-16,1896.0999755859,1873.0729
2023-08-17,1884.0999755859,1868.2476
2023-08-18,1886.0999755859,1861.2876
2023-08-21,1893.3000488281,1856.9955
2023-08-22,1896.4000244141,1858.8367
2023-08-23,1918.5,1863.677
2023-08-24,1918.1999511719,1875.6162
2023-08-25,1911.0999755859,1885.6971
2023-08-28,1917.9000244141,1888.8724
2023-08-29,1936.5,1891.0667
2023-08-30,1944.3000488281,1897.9181
2023-08-31,1938.1999511719,1906.9204
2023-09-01,1939.8000488281,1911.3868
2023-09-05,1926.1999511719,1913.2195
2023-09-06,1918.0999755859,1908.3983
2023-09-07,1917.5,1900.0609
2023-09-08,1918.4000244141,1893.3646
2023-09-11,1923.3000488281,1890.964
2023-09-12,1911.3000488281,1891.9551
2023-09-13,1909.0999755859,1888.9365
2023-09-14,1910.0,1885.5447
2023-09-15,1923.6999511719,1882.9362
2023-09-18,1931.5,1886.3386
2023-09-19,1932.0,1892.643
2023-09-20,1945.5999755859,1897.551
2023-09-21,1919.1999511719002,1904.7963
2023-09-22,1925.4000244141,1899.8796
2023-09-25,1916.5999755859,1894.476
2023-09-26,1900.4000244141,1887.2052
2023-09-27,1871.5999755859,1876.1154
2023-09-28,1860.4000244141,1857.6835
2023-09-29,1848.0999755859,1840.102
2023-10-02,1830.0,1825.8353
2023-10-03,1824.5999755859002,1812.1498
2023-10-04,1818.5,1802.4651
2023-10-05,1816.5999755859,1796.0371
2023-10-06,1830.1999511719,1792.1917
2023-10-09,1849.5,1796.1722
2023-10-10,1861.0000000000002,1808.7686
2023-10-11,1872.8000488281,1823.487
2023-10-12,1869.3000488281,1836.8844
2023-10-13,1927.4000244141,1842.8324
2023-10-16,1921.0999755859,1865.0188
2023-10-17,1922.6999511719,1881.4492
2023-10-18,1955.3000488281,1890.8796
2023-10-19,1968.4000244141,1906.2533
2023-10-20,1982.5,1922.5918
2023-10-23,1976.3000488281,1938.6007
2023-10-24,1975.0,1946.237
2023-10-25,1984.0999755859,1948.4113
2023-10-26,1987.1999511718998,1951.613
2023-10-27,1988.5999755859,1955.5701
2023-10-30,1996.1999511719,1958.8306
2023-10-31,1985.1999511719,1963.3419
2023-11-01,1978.8000488281,1962.0156
2023-11-02,1985.5999755859,1955.6428
2023-11-03,1991.5,1952.2445
2023-11-06,1981.5999755859,1951.5459
2023-11-07,1966.8000488281,1947.3695
2023-11-08,1951.5,1937.153
2023-11-09,1964.1999511719,1922.4532
2023-11-10,1932.5999755859,1915.5082
2023-11-13,1945.5,1901.8425
2023-11-14,1961.8000488281,1896.2493
2023-11-15,1960.0999755859,1901.5015
2023-11-16,1983.9000244141,1908.5109
2023-11-17,1981.5999755859,1922.8665
2023-11-20,1977.6999511718998,1933.3635
2023-11-21,1999.3000488281,1937.2664
2023-11-22,1991.4000244141,1945.9156
2023-11-24,2002.1999511719,1950.6858
2023-11-27,2011.8000488281,1957.7379
2023-11-28,2039.6999511719,1965.6472
2023-11-29,2047.0999755859,1983.1471
2023-11-30,2038.0999755859002,2000.7308
2023-12-01,2071.0,2007.9202
2023-12-04,2024.0999755859,2021.1395
2023-12-05,2018.5,2013.506
2023-12-06,2030.5,2000.3846
2023-12-07,2029.9000244141,1994.8789
2023-12-08,1998.3000488281,1994.0753
2023-12-11,1978.0,1983.9551
2023-12-12,1977.8000488281,1967.0002
2023-12-13,1982.3000488281,1953.5264
2023-12-14,2030.1999511719,1948.2372
2023-12-15,2021.0999755859,1965.408
2023-12-18,2026.3000488281,1979.429
2023-12-19,2038.4000244141,1987.9961
2023-12-20,2034.5,1994.79
2023-12-21,2039.0999755859,1996.2107
2023-12-22,2057.1000976562,1996.8236
2023-12-26,2058.1999511719,2003.2003
2023-12-27,2081.8999023438,2011.1924
2023-12-28,2073.8999023438,2025.5635
2023-12-29,2062.3999023438,2033.823
2024-01-02,2064.3999023438,2033.2545
2024-01-03,2034.1999511719,2030.1594
2024-01-04,2042.3000488281,2016.9425
2024-01-05,2042.4000244141,2009.298
2024-01-08,2026.5999755859,2006.6931
2024-01-09,2026.4000244141,2002.5763
2024-01-10,2021.6999511719,1999.901
2024-01-11,2014.3000488281,1997.093
2024-01-12,2046.6999511719,1991.7994
2024-01-16,2026.0,1999.4355
2024-01-17,2002.5999755859,2000.3866
2024-01-18,2018.5999755859,1988.2982
2024-01-19,2026.5,1983.1123
2024-01-22,2019.8000488281,1983.9736
2024-01-23,2023.6999511719,1983.244
2024-01-24,2013.9000244141,1983.5496
2024-01-25,2016.9000244141,1981.3328
2024-01-26,2016.8000488281,1980.9902
2024-01-29,2025.1999511719,1981.9344
2024-01-30,2031.5,1986.724
2024-01-31,2048.3999023438,1992.5892
2024-02-01,2053.0,2004.2074
2024-02-02,2036.0999755859,2015.1793
2024-02-05,2025.6999511719,2015.5723
2024-02-06,2034.5,2008.9833
2024-02-07,2035.1999511719,2005.9617
2024-02-08,2032.1999511719,2005.5587
2024-02-09,2023.3000488281,2005.6017
2024-02-12,2018.1999511719,2001.6505
2024-02-13,1992.9000244141,1996.0051
2024-02-14,1990.3000488281,1982.2097
2024-02-15,2002.0999755859,1969.4221
2024-02-16,2011.5,1966.8446
2024-02-20,2027.5,1971.5516
2024-02-21,2022.3000488281,1982.9083
2024-02-22,2019.6999511719,1990.4053
2024-02-23,2038.5999755859,1992.1792
2024-02-26,2028.5,1997.9994
2024-02-27,2034.0,1998.9426
2024-02-28,2033.0,1998.7809
2024-02-29,2045.6999511719,1998.884
2024-03-01,2086.8999023438,2004.4574
2024-03-04,2117.6999511719,2024.5588
2024-03-05,2133.4999999999995,2053.4907
2024-03-06,2150.3000488281,2080.5571
2024-03-07,2158.0,2102.413
2024-03-08,2178.6000976562,2116.9446
2024-03-11,2182.5,2130.9275
2024-03-12,2160.3999023438,2141.1067
2024-03-13,2175.3999023438,2137.9795
2024-03-14,2163.0,2137.326
2024-03-15,2157.3000488281,2132.5605
2024-03-18,2160.6999511719,2126.3123
