date,real,pred
2023-02-22,1832.0,1866.2413
2023-02-23,1818.0,1861.5493
2023-02-24,1808.8000488281,1856.4225
2023-02-27,1817.0,1850.9312
2023-02-28,1828.9000244141,1846.1613
2023-03-01,1837.6999511719,1842.696
2023-03-02,1833.5,1840.5858
2023-03-03,1847.6999511719,1839.0374
2023-03-06,1847.9000244141,1838.9379
2023-03-07,1813.9000244141,1839.5284
2023-03-08,1812.6999511719,1838.3636
2023-03-09,1829.3000488281,1836.6787
2023-03-10,1862.0,1835.7983
2023-03-13,1911.6999511719,1837.2668
2023-03-14,1906.1999511719,1842.7992
2023-03-15,1926.5999755859002,1849.4529
2023-03-16,1919.0,1857.9918
2023-03-17,1969.8000488281,1866.4728
2023-03-20,1979.1999511719,1877.9601
2023-03-21,1938.0,1890.4841
2023-03-22,1946.8000488281,1900.3032
2023-03-23,1993.8000488281,1909.2653
2023-03-24,1982.0999755859,1920.09
2023-03-27,1952.4000244141,1929.9575
2023-03-28,1972.4000244141,1937.074
2023-03-29,1966.0999755859,1943.9142
2023-03-30,1980.3000488281,1949.4296
2023-03-31,1969.0,1954.8715
2023-04-03,1983.9000244141,1958.999
2023-04-04,2022.1999511719,1963.2683
2023-04-05,2020.9000244141,1969.6183
2023-04-06,2011.9000244141,1976.2161
2023-04-10,1989.0999755859,1982.1328
2023-04-11,2004.8000488281,1986.0112
2023-04-12,2010.9000244141,1989.8359
2023-04-13,2041.3000488281,1993.5176
2023-04-14,2002.1999511719,1998.8113
2023-04-17,1994.1999511719,2001.7682
2023-04-18,2007.4000244141,2003.3323
2023-04-19,1995.1999511719,2004.8854
2023-04-20,2007.5999755859,2005.2821
2023-04-21,1979.5,2005.9703
2023-04-24,1989.0999755859,2004.7374
2023-04-25,1994.0,2003.4972
2023-04-26,1985.6999511719,2002.4266
2023-04-27,1989.9000244140998,2000.8735
2023-04-28,1990.0999755859,1999.5264
2023-05-01,1983.4000244141,1998.2915
2023-05-02,2014.3000488281,1996.774
2023-05-03,2028.5999755859002,1997.276
2023-05-04,2048.0,1999.3827
2023-05-05,2017.4000244141,2003.4728
2023-05-08,2026.3000488281,2006.3253
2023-05-09,2036.1999511719,2009.4121
2023-05-10,2030.5,2012.9424
2023-05-11,2014.6999511719,2016.0577
2023-05-12,2014.5,2017.837
2023-05-15,2018.0,2018.9558
2023-05-16,1988.4000244141,2019.7982
2023-05-17,1980.6999511719,2018.429
2023-05-18,1956.5,2015.766
2023-05-19,1978.6999511719,2010.914
2023-05-22,1974.8000488281,2006.7626
2023-05-23,1972.4000244141,2002.5492
2023-05-24,1962.8000488281,1998.4458
2023-05-25,1943.0999755859,1994.0231
2023-05-26,1944.0999755859,1988.512
2023-05-30,1958.0,1982.9614
2023-05-31,1963.9000244141,1978.5197
2023-06-01,1978.0,1975.1364
2023-06-02,1952.4000244141,1973.4128
2023-06-05,1958.0,1970.9343
2023-06-06,1965.5,1968.9368
2023-06-07,1942.6999511719,1967.7162
2023-06-08,1963.5999755859,1965.4413
2023-06-09,1962.1999511719,1964.3854
2023-06-12,1955.3000488281,1963.6669
2023-06-13,1944.5999755859,1962.801
2023-06-14,1955.3000488281,1961.3148
2023-06-15,1957.8000488281,1960.4032
2023-06-16,1958.4000244141,1959.8545
2023-06-20,1935.5,1959.5743
2023-06-21,1933.3000488281,1957.9692
2023-06-22,1912.6999511719,1955.8851
2023-06-23,1919.0999755859,1952.2731
2023-06-26,1923.6999511719,1948.6376
2023-06-27,1914.0,1945.3098
2023-06-28,1912.3000488281,1941.6338
2023-06-29,1909.1999511719,1937.9854
2023-06-30,1921.0999755859,1934.3378
2023-07-03,1921.6999511719,1931.6965
2023-07-05,1919.5999755859,1929.6383
2023-07-06,1908.6999511719,1927.9374
2023-07-07,1926.1999511719,1925.8787
2023-07-10,1925.0,1925.0245
2023-07-11,1931.3000488281,1924.5729
2023-07-12,1956.1999511719,1924.8479
2023-07-13,1959.1999511719,1927.0837
2023-07-14,1960.0999755859,1930.2241
2023-07-17,1952.4000244141,1933.8306
2023-07-18,1977.1999511719,1937.0625
2023-07-19,1977.5,1941.6427
2023-07-20,1968.3000488281,1946.4336
2023-07-21,1964.3000488281,1950.5574
2023-07-24,1960.3000488281,1953.9576
2023-07-25,1962.0999755859,1956.5481
2023-07-26,1968.9000244141,1958.6713
2023-07-27,1945.4000244141,1960.7891
2023-07-28,1960.4000244141,1961.1432
2023-07-31,1970.5,1961.7688
2023-08-01,1940.6999511719,1962.8839
2023-08-02,1937.4000244141,1962.1473
2023-08-03,1932.0,1960.5946
2023-08-04,1939.5999755859,1958.2715
2023-08-07,1933.5,1956.1395
2023-08-08,1924.0999755859,1953.6934
2023-08-09,1915.4000244141,1950.6716
2023-08-10,1914.4000244141,1947.0215
2023-08-11,1912.9000244141,1943.2289
2023-08-14,1910.5999755859,1939.4352
2023-08-15,1902.5,1935.705
2023-08-16,1896.0999755859,1931.708
2023-08-17,1884.0999755859,1927.464
2023-08-18,1886.0999755859,1922.5952
2023-08-21,1893.3000488281,1917.9126
2023-08-22,1896.4000244141,1913.9852
2023-08-23,1918.5,1910.8058
2023-08-24,1918.1999511719,1909.6505
2023-08-25,1911.0999755859,1909.4293
2023-08-28,1917.9000244141,1909.3953
2023-08-29,1936.5,1910.0587
2023-08-30,1944.3000488281,1912.2274
2023-08-31,1938.1999511719,1915.4274
2023-09-01,1939.8000488281,1918.6196
2023-09-05,1926.1999511719,1921.8857
2023-09-06,1918.0999755859,1924.1287
2023-09-07,1917.5,1925.3375
2023-09-08,1918.4000244141,1925.9205
2023-09-11,1923.3000488281,1926.1183
2023-09-12,1911.3000488281,1926.3668
2023-09-13,1909.0999755859,1925.7653
2023-09-14,1910.0,1924.7137
2023-09-15,1923.6999511719,1923.5131
2023-09-18,1931.5,1923.1373
2023-09-19,1932.0,1923.5656
2023-09-20,1945.5999755859,1924.3889
2023-09-21,1919.1999511719002,1926.308
2023-09-22,1925.4000244141,1926.8794
2023-09-25,1916.5999755859,1927.4664
2023-09-26,1900.4000244141,1927.3225
2023-09-27,1871.5999755859,1925.8331
2023-09-28,1860.4000244141,1921.9713
2023-09-29,1848.0999755859,1916.5557
2023-10-02,1830.0,1909.7722
2023-10-03,1824.5999755859002,1901.478
2023-10-04,1818.5,1892.5791
2023-10-05,1816.5999755859,1883.4006
2023-10-06,1830.1999511719,1874.4722
2023-10-09,1849.5,1867.0306
2023-10-10,1861.0000000000002,1861.8934
2023-10-11,1872.8000488281,1858.8962
2023-10-12,1869.3000488281,1858.0035
2023-10-13,1927.4000244141,1858.0879
2023-10-16,1921.0999755859,1862.6265
2023-10-17,1922.6999511719,1868.3514
2023-10-18,1955.3000488281,1874.8502
2023-10-19,1968.4000244141,1883.6239
2023-10-20,1982.5,1893.7013
2023-10-23,1976.3000488281,1904.8496
2023-10-24,1975.0,1915.5148
2023-10-25,1984.0999755859,1925.404
2023-10-26,1987.1999511718998,1934.9343
2023-10-27,1988.5999755859,1943.8062
2023-10-30,1996.1999511719,1951.8741
2023-10-31,1985.1999511719,1959.5048
2023-11-01,1978.8000488281,1965.6243
2023-11-02,1985.5999755859,1970.2742
2023-11-03,1991.5,1974.2831
2023-11-06,1981.5999755859,1977.9374
2023-11-07,1966.8000488281,1980.4266
2023-11-08,1951.5,1981.2638
2023-11-09,1964.1999511719,1980.253
2023-11-10,1932.5999755859,1979.1908
2023-11-13,1945.5,1975.8257
2023-11-14,1961.8000488281,1972.5693
2023-11-15,1960.0999755859,1970.3186
2023-11-16,1983.9000244141,1968.4161
2023-11-17,1981.5999755859,1968.4258
2023-11-20,1977.6999511718998,1969.0798
2023-11-21,1999.3000488281,1969.9415
2023-11-22,1991.4000244141,1972.3766
2023-11-24,2002.1999511719,1974.7927
2023-11-27,2011.8000488281,1977.9552
2023-11-28,2039.6999511719,1981.8916
2023-11-29,2047.0999755859,1987.7748
2023-11-30,2038.0999755859002,1994.6085
2023-12-01,2071.0,2001.0525
2023-12-04,2024.0999755859,2009.2673
2023-12-05,2018.5,2014.5428
2023-12-06,2030.5,2018.2227
2023-12-07,2029.9000244141,2021.5337
2023-12-08,1998.3000488281,2024.1727
2023-12-11,1978.0,2024.2053
2023-12-12,1977.8000488281,2021.8202
2023-12-13,1982.3000488281,2018.3176
2023-12-14,2030.1999511719,2014.5181
2023-12-15,2021.0999755859,2013.7365
2023-12-18,2026.3000488281,2013.4489
2023-12-19,2038.4000244141,2014.0599
2023-12-20,2034.5,2015.9028
2023-12-21,2039.0999755859,2017.9761
2023-12-22,2057.1000976562,2020.4886
2023-12-26,2058.1999511719,2024.2637
2023-12-27,2081.8999023438,2028.3972
2023-12-28,2073.8999023438,2034.1337
2023-12-29,2062.3999023438,2039.6683
2024-01-02,2064.3999023438,2044.2344
2024-01-03,2034.1999511719,2048.3115
2024-01-04,2042.3000488281,2049.842
2024-01-05,2042.4000244141,2050.7568
2024-01-08,2026.5999755859,2051.0527
2024-01-09,2026.4000244141,2049.892
2024-01-10,2021.6999511719,2048.1343
2024-01-11,2014.3000488281,2045.748
2024-01-12,2046.6999511719,2042.6782
2024-01-16,2026.0,2041.5554
2024-01-17,2002.5999755859,2039.7607
2024-01-18,2018.5999755859,2036.5328
2024-01-19,2026.5,2033.9705
2024-01-22,2019.8000488281,2032.1552
2024-01-23,2023.6999511719,2030.3451
2024-01-24,2013.9000244141,2029.0132
2024-01-25,2016.9000244141,2027.322
2024-01-26,2016.8000488281,2025.8667
2024-01-29,2025.1999511719,2024.5656
2024-01-30,2031.5,2023.9824
2024-01-31,2048.3999023438,2024.1636
2024-02-01,2053.0,2025.8096
2024-02-02,2036.0999755859,2028.3198
2024-02-05,2025.6999511719,2030.1042
2024-02-06,2034.5,2030.9805
2024-02-07,2035.1999511719,2031.9858
2024-02-08,2032.1999511719,2032.8994
2024-02-09,2023.3000488281,2033.505
2024-02-12,2018.1999511719,2033.3678
2024-02-13,1992.9000244141,2032.5784
2024-02-14,1990.3000488281,2029.8353
2024-02-15,2002.0999755859,2026.2646
2024-02-16,2011.5,2023.1027
2024-02-20,2027.5,2020.7488
2024-02-21,2022.3000488281,2019.9044
2024-02-22,2019.6999511719,2019.439
2024-02-23,2038.5999755859,2019.194
2024-02-26,2028.5,2020.3823
2024-02-27,2034.0,2021.4215
2024-02-28,2033.0,2022.9044
2024-02-29,2045.6999511719,2024.4094
2024-03-01,2086.8999023438,2026.7096
2024-03-04,2117.6999511719,2031.8816
2024-03-05,2133.4999999999995,2039.9158
2024-03-06,2150.3000488281,2049.9175
2024-03-07,2158.0,2061.5676
2024-03-08,2178.6000976562,2073.941
2024-03-11,2182.5,2087.4358
2024-03-12,2160.3999023438,2100.8938
2024-03-13,2175.3999023438,2112.1924
2024-03-14,2163.0,2122.9812
2024-03-15,2157.3000488281,2131.799
2024-03-18,2160.6999511719,2138.7966
2024-03-19,2156.3000488281,2144.5896
2024-03-20,2157.8999023438,2148.956
2024-03-21,2182.3999023438,2152.3843
2024-03-22,2158.1000976562,2156.612
2024-03-25,2174.8000488281,2159.0723
2024-03-26,2175.6000976562,2161.865
2024-03-27,2190.6000976562,2164.4365
2024-03-28,2217.3999023438005,2167.724
2024-04-01,2236.5,2172.8044
2024-04-02,2261.0,2179.5728
2024-04-03,2294.3999023438,2188.4036
2024-04-04,2288.8000488281,2199.9248
2024-04-05,2325.6999511719,2211.657
2024-04-08,2331.6999511719,2225.5845
2024-04-09,2343.5,2239.968
2024-04-10,2329.6000976562,2254.6836
2024-04-11,2354.8000488281,2267.7852
2024-04-12,2356.1999511719,2281.1943
2024-04-15,2365.8000488281,2293.7585
2024-04-16,2390.8000488281,2305.8428
2024-04-17,2371.6999511719,2318.5303
2024-04-18,2382.3000488281,2329.2517
2024-04-19,2398.3999023438,2339.3154
2024-04-22,2332.1999511719,2349.3154
2024-04-23,2327.6999511719,2354.0747
2024-04-24,2324.5,2356.2344
2024-04-25,2329.8000488281,2356.3682
2024-04-26,2334.8000488281,2355.5876
2024-04-29,2345.3999023438,2354.451
2024-04-30,2291.3999023438,2353.7424
